zone,lat,lon,distance_km
"via amendola, Milano, Italia",45.4302432,9.0617172,10.721851808245898
"viale certosa, Milano, Italia",45.4952128,9.1402218,5.1988276708860015
"viale bicocca, Milano, Italia",45.5150096,9.2066444,5.795005704565585
"via mario pagano, Milano, Italia",45.4736525,9.1693092,1.9291801897768142
"via inganni, Milano, Italia",45.4528954,9.1248699,5.24682543109717
"via padova, Milano, Italia",45.4899307,9.2217005,3.784420075347928
"viale ungheria, Milano, Italia",45.4456627,9.242836,4.617909922303229
"via cassinari, Milano, Italia",45.4369383,9.2422305,5.086647527470269
"piazza sant'ambrogio, Milano, Italia",45.4629579,9.1748354,1.1940069107540234
"via gorla, Milano, Italia",45.5063122,9.2233526,5.357703979477639
"alzaia naviglio pavese, Milano, Italia",45.4392695,9.1748704,3.012968331881831
"via famagosta, Milano, Italia",45.437126,9.1590997,3.8596806940155406
"via forlanini, Milano, Italia",45.4617325,9.2743869,6.605534068026867
"via prospero finzi, Milano, Italia",45.5033655,9.2192686,4.917699437080632
"via casoretto, Milano, Italia",45.4891442,9.2306725,4.218937916651341
"via affori, Milano, Italia",45.5168766,9.1691037,6.078159900698371
"via della spiga, Milano, Italia",45.4689598,9.1982548,0.8346248390402824
"via tre castelli, Milano, Italia",45.4358048,9.1371386,5.201857296010016
"via quarto oggiaro, Milano, Italia",45.4749862,9.1642727,2.341953679587956
"via emilia, Milano, Italia",45.3519167,9.3406759,17.17168965628128
"via ghisolfa, Milano, Italia",45.505656,9.0409779,12.528376815905013
"via ponte nuovo, Milano, Italia",45.5059207,9.237436,5.937476399879098
"via feltre, Milano, Italia",45.4913356,9.2438106,5.176643881664099
"piazza tre torri, Milano, Italia",45.4783108,9.1570584,3.015809181430698
"piazza gobetti, Milano, Italia",45.4854851,9.2336039,4.1498284549503754
"via ponte lambro, Milano, Italia",45.4871008,9.2413788,4.755799399379225
"piazza san babila, Milano, Italia",45.4663871,9.1977252,0.6512237230301686
"via baggio, Milano, Italia",45.44812,9.0344724,12.295734688560108
"via lorenteggio, Milano, Italia",45.4484455,9.1320157,4.8616999518833905
"via del mare, Milano, Italia",45.4209497,9.160371,5.336614103348251
"via dei missaglia, Milano, Italia",45.4223059,9.1787035,4.739265244890673
"via rogoredo, Milano, Italia",45.4306146,9.2446055,5.672881446587563
"via comasina, Milano, Italia",45.522968,9.1672949,6.768392506681686
"viale ca' granda, Milano, Italia",45.5078525,9.1951315,4.868152083552813
"piazza san carlo, Milano, Italia",45.4659461,9.1964155,0.5379558148465063
"via borgogna, Milano, Italia",45.4657685,9.1997333,0.7809132689781183
"via primaticcio, Milano, Italia",45.4508819,9.1348606,4.5597604306711315
"via ortica, Milano, Italia",45.4709934,9.2442243,4.3071884972991725
"piazza bruzzano, Milano, Italia",45.5271529,9.1737738,7.110702765269082
